Rank,Ticker,Score,Verdict,Setup_Type,Regime,Trend_Note,Asset_Note,Structure,Prev_Label,Last_Label,Bars_Since_Flip,RSI,MRC_Zone,Stop_Dist_Pct,Room_To_Resist_Pct,RR_Ratio,Current_Price,Nearest_Support,Nearest_Resistance,ATH_Dist_Pct,Market_Cap_M,RET30,Held_QTY,SELL_ORDER,Earnings,s_structure,s_setup,s_fresh,s_stop,s_room,s_oversold,s_penalty
66,LTBR,28,D-WEAK,WEAK,BEAR,against (1/3),micro-cap $228M | -100% from ATH,BEARISH,LL,LH,13.0,31.96,OS,5.7,25.3,4.4,6.47,6.1,8.11,-99.58,227.98,-27.55,,,,3,0,0,5,8,12,0
67,CRCL,27,D-WEAK,WEAK,BEAR,partial (2/3),,MIXED,HL,LH,2.0,45.43,Near_Mean,25.5,21.5,0.8,80.45,59.96,97.75,-72.25,21930.19,27.19,,,,13,0,0,0,8,6,0
68,SNDK,27,D-WEAK,WEAK,BULL,partial (2/3),trade only - memory cyclical,MIXED,HL,LH,24.0,51.78,Near_Mean,11.2,13.3,1.2,1594.99,1416.56,1807.38,-32.15,233536.85,18.13,2,NO_SELL,,13,0,0,2,6,6,0
69,STX,27,D-WEAK,DOWNTREND,BEAR,against (1/3),trade only - storage cyclical,MIXED,HH,LL,2.0,45.83,Near_Mean,5.2,14.9,2.9,805.765,763.52,925.44,-30.38,183225.34,-3.81,,,,10,0,0,5,6,6,0
70,ASML,26,D-WEAK,DOWNTREND,BEAR,against (1/3),,BEARISH,LH,LL,3.0,39.45,Below_Mean,1.8,11.7,6.5,1602.22,1572.84,1790.0,-18.63,615412.66,-6.41,,,,0,0,0,12,4,10,0
71,NVDA,26,D-WEAK,DOWNTREND,BEAR,partial (1/3),TIER 1,MIXED,HH,LL,3.0,50.64,Near_Mean,4.0,5.7,1.4,217.7101,208.93,230.21,-7.96,5256654.09,-0.5,1,NO_SELL,,10,0,0,8,2,6,0
72,RCAT,26,D-WEAK,WEAK,BEAR,against (1/3),"small-cap $1,103M | -100% from ATH",BEARISH,LL,LH,13.0,35.55,Below_Mean,7.2,23.3,3.2,7.2197,6.7,8.9,-100.0,1102.55,-16.52,,,,3,0,0,5,8,10,0
73,VRT,26,D-WEAK,DOWNTREND,BEAR,against (2/3),watchlist,MIXED,HH,LL,5.0,45.18,Below_Mean,8.9,18.6,2.1,249.0414,226.94,295.27,-34.46,95877.99,-10.06,,,,10,0,0,2,6,8,0
74,APLD,25,D-WEAK,DOWNTREND,BEAR,against (2/3),,BEARISH,LH,LL,56.0,41.46,OS,4.1,19.5,4.8,24.39,23.39,29.15,-48.15,6934.17,-22.0,,,,0,0,0,8,6,11,0
75,ONDS,25,D-WEAK,WEAK,BEAR,against (1/3),,BEARISH,LL,LH,13.0,41.98,Below_Mean,4.6,8.3,1.8,7.3399,7.0,7.95,-53.84,4265.28,-17.25,,,,3,0,0,8,4,10,0
76,QBTS,25,D-WEAK,WEAK,BEAR,against (1/3),AVOID: quantum,BEARISH,LL,LH,15.0,44.65,Below_Mean,4.3,9.2,2.1,16.92,16.19,18.48,-64.1,6423.28,-20.87,,,,3,0,0,8,4,10,0
77,RTX,25,D-WEAK,DOWNTREND,BEAR,against (0/3),,BEARISH,LH,LL,19.0,32.64,Near_Mean,1.5,9.0,6.0,195.94,193.05,213.5,-13.6,264079.72,-11.57,,,,0,0,0,12,4,9,0
78,SE,25,D-WEAK,WEAK,BEAR,against (0/3),,BEARISH,LL,LH,12.0,36.73,Near_Mean,4.7,12.2,2.6,102.43,97.59,114.9,-72.35,62736.79,-10.86,,,,3,0,0,8,6,8,0
79,SSK,25,D-WEAK,WEAK,BEAR,partial (2/3),no mkt cap - ETF/fund,MIXED,HL,LH,1.0,55.4,OB,0.2,7.0,35.0,13.24,13.21,14.17,-65.52,,32.81,,,,13,0,0,12,2,-2,0
80,ETHA,24,D-WEAK,DOWNTREND,BEAR,partial (2/3),no mkt cap - ETF/fund,MIXED,HH,LL,2.0,56.75,OB,1.4,10.9,7.8,18.15,17.9,20.12,-49.95,,28.27,,,,10,0,0,12,4,-2,0
81,INVA,24,D-WEAK,DOWNTREND,BEAR,against (1/3),"small-cap $1,532M",MIXED,HH,LL,5.0,51.96,Near_Mean,3.5,1.5,0.4,21.2,20.45,21.51,-38.7,1531.6,1.63,,,,10,0,0,8,0,6,0
82,INOD,23,D-WEAK,DOWNTREND,BULL,against (1/3),"small-cap $1,905M",BEARISH,LH,LL,0.0,43.45,Below_Mean,5.1,20.2,4.0,55.41,52.6,66.62,-54.38,1905.14,-21.08,,,,0,0,0,5,8,10,0
